/scratch1/tsa5252/anaconda3/lib/python3.11/site-packages/hydra/_internal/defaults_list.py:251: UserWarning: In 'config': Defaults list is missing `_self_`. See https://hydra.cc/docs/1.2/upgrades/1.0_to_1.1/default_composition_order for more information
  warnings.warn(msg, UserWarning)
[[36m2026-02-28 03:52:26,142[0m][[34mOpenGL.acceleratesupport[0m][[32mINFO[0m] - No OpenGL_accelerate module loaded: No module named 'OpenGL_accelerate'[0m
Starting PPO Teacher Training on HalfCheetah-v5...
Eval: global_step=1466368, reward=3635.16 +/- 37.27
global_step=1469464, episodic_return=3497.64
global_step=1473468, episodic_return=3508.60
Eval: global_step=1474560, reward=3606.25 +/- 43.76
global_step=1477472, episodic_return=3521.78
global_step=1481476, episodic_return=3571.78
Eval: global_step=1482752, reward=3658.91 +/- 58.17
global_step=1485480, episodic_return=3542.67
global_step=1489484, episodic_return=3512.01
Eval: global_step=1490944, reward=3678.02 +/- 25.67
global_step=1493488, episodic_return=3525.37
global_step=1497492, episodic_return=3465.82
Eval: global_step=1499136, reward=3635.85 +/- 55.46
global_step=1501496, episodic_return=3535.96
global_step=1505500, episodic_return=3418.48
Eval: global_step=1507328, reward=3698.69 +/- 71.73
global_step=1509504, episodic_return=3630.72
global_step=1513508, episodic_return=3558.77
Eval: global_step=1515520, reward=3705.90 +/- 49.52
global_step=1517512, episodic_return=3540.12
global_step=1521516, episodic_return=3575.11
Eval: global_step=1523712, reward=3693.63 +/- 57.19
global_step=1525520, episodic_return=3508.17
global_step=1529524, episodic_return=3586.99
Eval: global_step=1531904, reward=3726.33 +/- 39.29
global_step=1533528, episodic_return=3691.58
global_step=1537532, episodic_return=3512.09
Eval: global_step=1540096, reward=3692.13 +/- 49.57
global_step=1541536, episodic_return=3717.45
global_step=1545540, episodic_return=3562.70
Eval: global_step=1548288, reward=3705.00 +/- 38.95
global_step=1549544, episodic_return=3726.70
global_step=1553548, episodic_return=3546.82
Eval: global_step=1556480, reward=3363.11 +/- 991.63
global_step=1557552, episodic_return=3587.54
global_step=1561556, episodic_return=3677.33
Eval: global_step=1564672, reward=3710.31 +/- 49.61
global_step=1565560, episodic_return=3515.02
global_step=1569564, episodic_return=3637.59
